* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Elysian Diva - 250m - Blue Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Elysian Diva - 250m - Blue Foam R.txt Format: Comma/Tab/Space delimited data 54607 values loaded, 2 Hz to 20,000 Hz 
* Measurement: Rlysian Diva - 250m - Blue Foa
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz)	SPL(dB)
2.200000	65.744
2.240000	66.127
2.270000	66.415
2.300000	66.702
2.330000	66.989
2.360000	67.277
2.400000	67.660
2.430000	67.947
2.470000	68.331
2.500000	68.618
2.540000	69.001
2.580000	69.349
2.620000	69.632
2.650000	69.830
2.690000	70.077
2.720000	70.252
2.760000	70.470
2.800000	70.674
2.850000	70.912
2.900000	71.135
2.950000	71.344
3.000000	71.532
3.040000	71.667
3.070000	71.760
3.110000	71.874
3.150000	71.978
3.200000	72.095
3.250000	72.201
3.300000	72.298
3.350000	72.380
3.400000	72.446
3.450000	72.499
3.500000	72.540
3.550000	72.573
3.600000	72.601
3.650000	72.626
3.700000	72.647
3.750000	72.656
3.820000	72.656
3.870000	72.651
3.950000	72.647
4.000000	72.651
4.060000	72.667
4.120000	72.684
4.180000	72.704
4.250000	72.736
4.310000	72.775
4.370000	72.829
4.440000	72.917
4.500000	73.009
4.550000	73.097
4.620000	73.233
4.680000	73.359
4.750000	73.513
4.820000	73.678
4.870000	73.806
4.940000	73.995
5.000000	74.161
5.080000	74.376
5.150000	74.553
5.220000	74.727
5.300000	74.923
5.380000	75.110
5.450000	75.261
5.520000	75.397
5.600000	75.537
5.700000	75.691
5.800000	75.823
5.900000	75.936
6.000000	76.022
6.080000	76.078
6.150000	76.120
6.220000	76.161
6.300000	76.202
6.400000	76.243
6.500000	76.281
6.600000	76.326
6.700000	76.379
6.800000	76.436
6.900000	76.499
7.000000	76.574
7.100000	76.659
7.200000	76.752
7.300000	76.847
7.400000	76.943
7.500000	77.043
7.620000	77.160
7.750000	77.275
7.880000	77.379
8.000000	77.464
8.120000	77.534
8.250000	77.595
8.380000	77.643
8.500000	77.681
8.620000	77.708
8.750000	77.735
8.850000	77.756
9.000000	77.786
9.120000	77.812
9.250000	77.847
9.380000	77.885
9.500000	77.923
9.620000	77.964
9.750000	78.013
9.880000	78.052
10.000000	78.075
10.150000	78.092
10.300000	78.099
10.440000	78.095
10.600000	78.084
10.750000	78.073
10.900000	78.060
11.060000	78.047
11.200000	78.036
11.380000	78.024
11.500000	78.019
11.720000	78.011
11.800000	78.009
12.060000	78.003
12.200000	77.998
12.410000	77.991
12.500000	77.994
12.650000	78.006
12.800000	78.022
13.150000	78.065
13.200000	78.072
13.400000	78.101
13.600000	78.131
13.800000	78.161
14.000000	78.189
14.300000	78.224
14.500000	78.241
14.750000	78.255
15.000000	78.263
15.250000	78.269
15.500000	78.275
15.750000	78.283
16.000000	78.294
16.250000	78.307
16.500000	78.320
16.750000	78.328
17.000000	78.332
17.250000	78.333
17.500000	78.332
17.750000	78.332
18.000000	78.331
18.250000	78.329
18.500000	78.326
18.750000	78.323
19.000000	78.320
19.250000	78.316
19.500000	78.313
19.750000	78.310
20.000000	78.308
20.299999	78.305
20.600000	78.302
20.900000	78.298
21.200001	78.294
21.400000	78.293
21.799999	78.292
22.000000	78.291
22.400000	78.287
22.700001	78.282
23.000000	78.274
23.299999	78.265
23.600000	78.255
24.000000	78.242
24.299999	78.231
24.700001	78.212
25.000000	78.194
25.400000	78.167
25.799999	78.137
26.200001	78.107
26.500000	78.085
26.900000	78.054
27.200001	78.031
27.600000	77.999
28.000000	77.967
28.500000	77.926
29.000000	77.884
29.500000	77.844
30.000000	77.805
30.400000	77.774
30.700001	77.749
31.100000	77.716
31.500000	77.681
32.000000	77.638
32.500000	77.594
33.000000	77.546
33.500000	77.495
34.000000	77.442
34.500000	77.389
35.000000	77.334
35.500000	77.279
36.000000	77.223
36.500000	77.167
37.000000	77.111
37.500000	77.056
38.200001	76.977
38.700001	76.922
39.500000	76.833
40.000000	76.778
40.599998	76.712
41.200001	76.646
41.799999	76.578
42.500000	76.500
43.099998	76.432
43.700001	76.363
44.400002	76.283
45.000000	76.213
45.500000	76.156
46.200001	76.076
46.799999	76.008
47.500000	75.928
48.200001	75.850
48.700001	75.793
49.400002	75.713
50.000000	75.645
50.799999	75.556
51.500000	75.478
52.200001	75.400
53.000000	75.312
53.799999	75.225
54.500000	75.149
55.200001	75.073
56.000000	74.986
57.000000	74.879
58.000000	74.772
59.000000	74.664
60.000000	74.557
60.799999	74.476
61.500000	74.405
62.200001	74.335
63.000000	74.254
64.000000	74.154
65.000000	74.053
66.000000	73.952
67.000000	73.853
68.000000	73.754
69.000000	73.658
70.000000	73.564
71.000000	73.471
72.000000	73.380
73.000000	73.289
74.000000	73.198
75.000000	73.109
76.199997	73.005
77.500000	72.891
78.800003	72.785
80.000000	72.686
81.199997	72.590
82.500000	72.488
83.800003	72.389
85.000000	72.307
86.199997	72.225
87.500000	72.131
88.500000	72.054
90.000000	71.947
91.199997	71.866
92.500000	71.780
93.800003	71.696
95.000000	71.619
96.199997	71.545
97.500000	71.466
98.800003	71.387
100.000000	71.316
101.500000	71.232
103.000000	71.149
104.400002	71.074
106.000000	70.991
107.500000	70.914
109.000000	70.837
110.599998	70.758
112.000000	70.691
113.800003	70.606
115.000000	70.553
117.199997	70.456
118.000000	70.422
120.599998	70.313
122.000000	70.257
124.099998	70.174
125.000000	70.141
126.500000	70.087
128.000000	70.037
131.500000	69.922
132.000000	69.906
134.000000	69.845
136.000000	69.785
138.000000	69.729
140.000000	69.673
143.000000	69.592
145.000000	69.540
147.500000	69.476
150.000000	69.416
152.500000	69.357
155.000000	69.300
157.500000	69.245
160.000000	69.190
162.500000	69.129
165.000000	69.068
167.500000	69.008
170.000000	68.950
172.500000	68.894
175.000000	68.839
177.500000	68.786
180.000000	68.735
182.500000	68.684
185.000000	68.636
187.500000	68.589
190.000000	68.542
192.500000	68.496
195.000000	68.452
197.500000	68.409
200.000000	68.370
203.000000	68.327
206.000000	68.286
209.000000	68.247
212.000000	68.210
214.000000	68.186
218.000000	68.139
220.000000	68.116
224.000000	68.070
227.000000	68.038
230.000000	68.008
233.000000	67.978
236.000000	67.948
240.000000	67.911
243.000000	67.884
247.000000	67.850
250.000000	67.824
254.000000	67.792
258.000000	67.762
262.000000	67.732
265.000000	67.711
269.000000	67.682
272.000000	67.663
276.000000	67.635
280.000000	67.608
285.000000	67.579
290.000000	67.548
295.000000	67.519
300.000000	67.491
304.000000	67.470
307.000000	67.453
311.000000	67.433
315.000000	67.413
320.000000	67.387
325.000000	67.363
330.000000	67.339
335.000000	67.315
340.000000	67.294
