* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Softears RSV Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Softears RSV Foam R.txt Format: Comma/Tab/Space delimited data 54607 values loaded, 2 Hz to 20,000 Hz 
* Measurement: Softears RSV Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz)	SPL(dB)
2.200000	56.854
2.240000	57.154
2.270000	57.378
2.300000	57.603
2.330000	57.827
2.360000	58.052
2.400000	58.351
2.430000	58.575
2.470000	58.875
2.500000	59.099
2.540000	59.398
2.580000	59.611
2.620000	59.664
2.650000	59.674
2.690000	59.646
2.720000	59.597
2.760000	59.495
2.800000	59.353
2.850000	59.122
2.900000	58.836
2.950000	58.499
3.000000	58.109
3.040000	57.758
3.070000	57.470
3.110000	57.053
3.150000	56.596
3.200000	55.967
3.250000	55.271
3.300000	54.505
3.350000	53.533
3.400000	52.340
3.450000	51.041
3.500000	49.750
3.550000	48.581
3.600000	47.647
3.650000	47.064
3.700000	46.912
3.750000	47.124
3.820000	47.862
3.870000	48.582
3.950000	49.825
4.000000	50.520
4.060000	51.179
4.120000	51.847
4.180000	52.528
4.250000	53.293
4.310000	53.880
4.370000	54.367
4.440000	54.776
4.500000	55.015
4.550000	55.151
4.620000	55.263
4.680000	55.304
4.750000	55.311
4.820000	55.272
4.870000	55.197
4.940000	55.040
5.000000	54.866
5.080000	54.595
5.150000	54.335
5.220000	54.029
5.300000	53.630
5.380000	53.202
5.450000	52.824
5.520000	52.454
5.600000	51.990
5.700000	51.395
5.800000	50.875
5.900000	50.517
6.000000	50.251
6.080000	50.127
6.150000	50.114
6.220000	50.216
6.300000	50.510
6.400000	51.106
6.500000	51.837
6.600000	52.581
6.700000	53.368
6.800000	54.216
6.900000	55.039
7.000000	55.766
7.100000	56.427
7.200000	57.033
7.300000	57.576
7.400000	58.047
7.500000	58.448
7.620000	58.859
7.750000	59.240
7.880000	59.537
8.000000	59.769
8.120000	59.996
8.250000	60.212
8.380000	60.429
8.500000	60.656
8.620000	60.900
8.750000	61.179
8.850000	61.407
9.000000	61.775
9.120000	62.069
