* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Sennheiser IE600 - no o-ring - Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Sennheiser IE600 - no o-ring - Foam L.txt Format: Comma/Tab/Space delimited data 54607 values loaded, 2 Hz to 20,000 Hz 
* Measurement: Lennheiser IE600 - no o-ring -
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz)	SPL(dB)
2.200000	58.375
2.240000	58.738
2.270000	59.010
2.300000	59.282
2.330000	59.554
2.360000	59.827
2.400000	60.190
2.430000	60.462
2.470000	60.825
2.500000	61.097
2.540000	61.460
2.580000	61.791
2.620000	62.058
2.650000	62.243
2.690000	62.473
2.720000	62.636
2.760000	62.842
2.800000	63.041
2.850000	63.286
2.900000	63.535
2.950000	63.794
3.000000	64.051
3.040000	64.253
3.070000	64.403
3.110000	64.601
3.150000	64.798
3.200000	65.044
3.250000	65.290
3.300000	65.540
3.350000	65.792
3.400000	66.048
3.450000	66.304
3.500000	66.559
3.550000	66.811
3.600000	67.059
3.650000	67.301
3.700000	67.536
3.750000	67.769
3.820000	68.090
3.870000	68.313
3.950000	68.657
4.000000	68.862
4.060000	69.096
4.120000	69.320
4.180000	69.533
4.250000	69.770
4.310000	69.962
4.370000	70.145
4.440000	70.346
4.500000	70.506
4.550000	70.632
4.620000	70.798
4.680000	70.933
4.750000	71.084
4.820000	71.227
4.870000	71.323
4.940000	71.448
5.000000	71.551
5.080000	71.684
5.150000	71.799
5.220000	71.909
5.300000	72.030
5.380000	72.148
5.450000	72.250
5.520000	72.354
5.600000	72.472
5.700000	72.619
5.800000	72.765
5.900000	72.912
6.000000	73.059
6.080000	73.177
6.150000	73.278
6.220000	73.378
6.300000	73.490
6.400000	73.629
6.500000	73.763
6.600000	73.892
6.700000	74.016
6.800000	74.134
6.900000	74.247
7.000000	74.356
7.100000	74.458
7.200000	74.556
7.300000	74.651
7.400000	74.744
7.500000	74.833
7.620000	74.937
7.750000	75.050
7.880000	75.161
8.000000	75.264
8.120000	75.368
8.250000	75.483
8.380000	75.597
8.500000	75.703
8.620000	75.809
8.750000	75.923
8.850000	76.009
9.000000	76.137
9.120000	76.237
9.250000	76.340
9.380000	76.440
9.500000	76.529
9.620000	76.615
9.750000	76.706
9.880000	76.786
10.000000	76.845
10.150000	76.906
10.300000	76.959
10.440000	77.000
10.600000	77.042
10.750000	77.081
10.900000	77.118
11.060000	77.155
11.200000	77.185
11.380000	77.221
11.500000	77.243
11.720000	77.277
11.800000	77.288
12.060000	77.317
12.200000	77.329
12.410000	77.345
12.500000	77.356
12.650000	77.380
12.800000	77.405
13.150000	77.456
13.200000	77.462
13.400000	77.486
13.600000	77.506
13.800000	77.522
14.000000	77.537
14.300000	77.555
14.500000	77.565
14.750000	77.575
15.000000	77.583
15.250000	77.588
15.500000	77.593
15.750000	77.597
16.000000	77.602
16.250000	77.612
16.500000	77.626
16.750000	77.640
17.000000	77.655
17.250000	77.669
17.500000	77.683
17.750000	77.696
18.000000	77.707
18.250000	77.717
18.500000	77.725
18.750000	77.733
19.000000	77.740
19.250000	77.745
19.500000	77.748
19.750000	77.750
20.000000	77.750
20.299999	77.747
20.600000	77.742
20.900000	77.732
21.200001	77.721
21.400000	77.712
21.799999	77.693
22.000000	77.684
22.400000	77.664
22.700001	77.645
23.000000	77.624
23.299999	77.598
23.600000	77.571
24.000000	77.536
24.299999	77.513
24.700001	77.487
25.000000	77.468
25.400000	77.442
25.799999	77.414
26.200001	77.382
26.500000	77.358
26.900000	77.328
27.200001	77.309
27.600000	77.283
28.000000	77.256
28.500000	77.217
29.000000	77.174
29.500000	77.129
30.000000	77.083
30.400000	77.044
30.700001	77.012
31.100000	76.969
31.500000	76.925
32.000000	76.872
32.500000	76.821
33.000000	76.768
33.500000	76.716
34.000000	76.666
34.500000	76.617
35.000000	76.568
35.500000	76.518
36.000000	76.468
36.500000	76.420
37.000000	76.373
37.500000	76.325
38.200001	76.253
38.700001	76.199
39.500000	76.116
40.000000	76.063
40.599998	75.997
41.200001	75.930
41.799999	75.872
42.500000	75.806
43.099998	75.747
43.700001	75.685
44.400002	75.615
45.000000	75.557
45.500000	75.508
46.200001	75.439
46.799999	75.381
47.500000	75.313
48.200001	75.245
48.700001	75.197
49.400002	75.130
50.000000	75.073
50.799999	74.998
51.500000	74.934
52.200001	74.871
53.000000	74.798
53.799999	74.724
54.500000	74.660
55.200001	74.597
56.000000	74.526
57.000000	74.437
58.000000	74.350
59.000000	74.263
60.000000	74.178
60.799999	74.111
61.500000	74.053
62.200001	73.995
63.000000	73.928
64.000000	73.843
65.000000	73.759
66.000000	73.677
67.000000	73.597
68.000000	73.519
69.000000	73.440
70.000000	73.362
71.000000	73.284
72.000000	73.207
73.000000	73.131
74.000000	73.054
75.000000	72.980
76.199997	72.893
77.500000	72.799
78.800003	72.707
80.000000	72.622
81.199997	72.539
82.500000	72.452
83.800003	72.366
85.000000	72.287
86.199997	72.210
87.500000	72.128
88.500000	72.064
90.000000	71.970
91.199997	71.898
92.500000	71.822
93.800003	71.745
95.000000	71.675
96.199997	71.605
97.500000	71.532
98.800003	71.459
100.000000	71.394
101.500000	71.312
103.000000	71.231
104.400002	71.157
106.000000	71.074
107.500000	70.999
109.000000	70.925
110.599998	70.848
112.000000	70.780
113.800003	70.694
115.000000	70.638
117.199997	70.536
118.000000	70.500
120.599998	70.385
122.000000	70.325
124.099998	70.237
125.000000	70.200
126.500000	70.142
128.000000	70.087
131.500000	69.961
132.000000	69.944
134.000000	69.876
136.000000	69.808
138.000000	69.741
140.000000	69.675
143.000000	69.578
145.000000	69.517
147.500000	69.440
150.000000	69.366
152.500000	69.293
155.000000	69.223
157.500000	69.155
160.000000	69.085
162.500000	69.009
165.000000	68.933
167.500000	68.857
170.000000	68.783
172.500000	68.711
175.000000	68.640
177.500000	68.571
180.000000	68.505
182.500000	68.439
185.000000	68.374
187.500000	68.310
190.000000	68.249
192.500000	68.188
195.000000	68.129
197.500000	68.070
200.000000	68.015
203.000000	67.953
206.000000	67.895
209.000000	67.839
212.000000	67.783
214.000000	67.746
218.000000	67.676
