* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\TinHiFi P1 Max Foam R.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\TinHiFi P1 Max Foam R.txt Format: Comma/Tab/Space delimited data 54607 values loaded, 2 Hz to 20,000 Hz 
* Measurement: TinHiFi P1 Max Foam R
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz)	SPL(dB)
2.200000	59.036
2.240000	59.349
2.270000	59.583
2.300000	59.818
2.330000	60.052
2.360000	60.286
2.400000	60.599
2.430000	60.833
2.470000	61.146
2.500000	61.380
2.540000	61.693
2.580000	61.930
2.620000	62.029
2.650000	62.074
2.690000	62.099
2.720000	62.093
2.760000	62.056
2.800000	61.989
2.850000	61.868
2.900000	61.714
2.950000	61.532
3.000000	61.311
3.040000	61.104
3.070000	60.932
3.110000	60.681
3.150000	60.405
3.200000	60.027
3.250000	59.613
3.300000	59.165
3.350000	58.653
3.400000	58.073
3.450000	57.447
3.500000	56.801
3.550000	56.156
3.600000	55.537
3.650000	54.967
3.700000	54.428
3.750000	53.851
3.820000	53.043
3.870000	52.517
3.950000	51.869
4.000000	51.644
4.060000	51.619
4.120000	51.868
4.180000	52.319
4.250000	52.996
4.310000	53.616
4.370000	54.191
4.440000	54.759
4.500000	55.259
4.550000	55.682
4.620000	56.266
4.680000	56.742
4.750000	57.248
4.820000	57.693
4.870000	57.984
4.940000	58.358
5.000000	58.652
5.080000	59.011
5.150000	59.299
5.220000	59.556
5.300000	59.812
5.380000	60.034
5.450000	60.206
5.520000	60.359
5.600000	60.499
5.700000	60.633
5.800000	60.744
5.900000	60.852
6.000000	60.931
6.080000	60.989
6.150000	61.051
6.220000	61.138
6.300000	61.266
6.400000	61.454
6.500000	61.679
6.600000	61.948
6.700000	62.277
6.800000	62.652
6.900000	63.042
7.000000	63.422
7.100000	63.816
7.200000	64.208
7.300000	64.576
7.400000	64.904
7.500000	65.208
7.620000	65.536
7.750000	65.840
7.880000	66.086
8.000000	66.277
8.120000	66.445
8.250000	66.590
8.380000	66.719
8.500000	66.841
8.620000	66.955
8.750000	67.083
8.850000	67.191
9.000000	67.364
9.120000	67.507
9.250000	67.665
9.380000	67.829
9.500000	67.974
9.620000	68.109
9.750000	68.249
9.880000	68.367
10.000000	68.449
10.150000	68.524
10.300000	68.580
10.440000	68.612
10.600000	68.637
10.750000	68.658
10.900000	68.674
11.060000	68.695
11.200000	68.715
11.380000	68.742
11.500000	68.763
11.720000	68.803
11.800000	68.818
12.060000	68.868
12.200000	68.895
12.410000	68.942
12.500000	68.970
12.650000	69.027
12.800000	69.092
13.150000	69.262
13.200000	69.287
13.400000	69.392
13.600000	69.497
13.800000	69.598
14.000000	69.695
14.300000	69.832
14.500000	69.919
14.750000	70.029
15.000000	70.141
15.250000	70.258
15.500000	70.374
15.750000	70.486
16.000000	70.590
16.250000	70.685
16.500000	70.771
16.750000	70.845
17.000000	70.914
17.250000	70.980
17.500000	71.043
17.750000	71.103
18.000000	71.158
18.250000	71.206
18.500000	71.247
18.750000	71.282
19.000000	71.312
19.250000	71.340
19.500000	71.365
19.750000	71.390
20.000000	71.416
20.299999	71.447
20.600000	71.479
20.900000	71.513
21.200001	71.551
21.400000	71.580
21.799999	71.642
22.000000	71.676
22.400000	71.743
22.700001	71.790
23.000000	71.835
23.299999	71.876
23.600000	71.917
24.000000	71.971
24.299999	72.014
24.700001	72.073
25.000000	72.117
25.400000	72.168
25.799999	72.203
26.200001	72.223
26.500000	72.232
26.900000	72.244
27.200001	72.259
27.600000	72.286
28.000000	72.314
28.500000	72.340
29.000000	72.350
29.500000	72.358
30.000000	72.374
30.400000	72.395
30.700001	72.415
31.100000	72.439
31.500000	72.461
32.000000	72.483
32.500000	72.504
33.000000	72.528
33.500000	72.556
34.000000	72.576
34.500000	72.585
35.000000	72.587
35.500000	72.593
36.000000	72.605
36.500000	72.614
37.000000	72.617
37.500000	72.616
38.200001	72.620
38.700001	72.629
39.500000	72.650
40.000000	72.661
40.599998	72.665
41.200001	72.657
41.799999	72.649
42.500000	72.652
43.099998	72.663
43.700001	72.670
44.400002	72.671
45.000000	72.673
45.500000	72.673
46.200001	72.666
46.799999	72.661
47.500000	72.660
48.200001	72.659
48.700001	72.656
49.400002	72.651
50.000000	72.646
50.799999	72.639
51.500000	72.634
52.200001	72.628
53.000000	72.620
53.799999	72.612
54.500000	72.606
55.200001	72.595
56.000000	72.585
57.000000	72.579
58.000000	72.561
59.000000	72.552
60.000000	72.540
60.799999	72.519
61.500000	72.505
62.200001	72.499
63.000000	72.484
64.000000	72.463
65.000000	72.445
66.000000	72.422
67.000000	72.397
68.000000	72.376
69.000000	72.350
70.000000	72.322
71.000000	72.299
72.000000	72.279
73.000000	72.256
74.000000	72.231
75.000000	72.205
76.199997	72.176
77.500000	72.138
78.800003	72.103
80.000000	72.077
81.199997	72.048
82.500000	72.016
83.800003	71.985
85.000000	71.952
86.199997	71.917
87.500000	71.886
88.500000	71.861
90.000000	71.819
91.199997	71.786
92.500000	71.748
93.800003	71.710
95.000000	71.679
96.199997	71.646
97.500000	71.610
98.800003	71.573
100.000000	71.538
101.500000	71.497
103.000000	71.455
104.400002	71.415
106.000000	71.369
107.500000	71.326
109.000000	71.285
110.599998	71.241
112.000000	71.199
113.800003	71.146
115.000000	71.113
117.199997	71.050
118.000000	71.027
120.599998	70.954
122.000000	70.914
124.099998	70.856
125.000000	70.832
126.500000	70.793
128.000000	70.756
131.500000	70.669
132.000000	70.657
134.000000	70.609
136.000000	70.560
138.000000	70.509
140.000000	70.456
143.000000	70.384
145.000000	70.336
147.500000	70.275
150.000000	70.213
152.500000	70.153
155.000000	70.093
157.500000	70.031
160.000000	69.967
162.500000	69.897
165.000000	69.824
167.500000	69.750
170.000000	69.677
172.500000	69.606
175.000000	69.533
177.500000	69.463
