* Measurement data measured by REW V5.20.13
* Source: C:\Users\marcu\OneDrive\Desktop\audio_db\Elysian Diva - 250m - Blue Foam L.txt
* Format: Comma/Tab/Space delimited data
* Dated: May 29, 2023 8:27:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ; Measurement imported from C:\Users\marcu\OneDrive\Desktop\audio_db\Elysian Diva - 250m - Blue Foam L.txt Format: Comma/Tab/Space delimited data 54607 values loaded, 2 Hz to 20,000 Hz 
* Measurement: Llysian Diva - 250m - Blue Foa
* Smoothing: None
* Frequency Step: 1/48 octave
* Start Frequency: 2.200 Hz
*
* Freq(Hz)	SPL(dB)
125.000000	67.939
126.500000	67.884
128.000000	67.833
131.500000	67.717
132.000000	67.701
134.000000	67.638
136.000000	67.578
138.000000	67.521
140.000000	67.465
143.000000	67.380
145.000000	67.329
147.500000	67.264
150.000000	67.202
152.500000	67.143
155.000000	67.087
157.500000	67.032
160.000000	66.977
162.500000	66.915
165.000000	66.853
167.500000	66.794
170.000000	66.735
172.500000	66.680
175.000000	66.625
177.500000	66.572
180.000000	66.522
182.500000	66.474
185.000000	66.427
187.500000	66.381
190.000000	66.338
192.500000	66.294
195.000000	66.251
197.500000	66.209
200.000000	66.171
203.000000	66.131
206.000000	66.094
209.000000	66.059
212.000000	66.025
214.000000	66.003
218.000000	65.957
220.000000	65.937
224.000000	65.898
227.000000	65.870
230.000000	65.843
233.000000	65.816
236.000000	65.791
240.000000	65.758
243.000000	65.734
247.000000	65.705
250.000000	65.684
254.000000	65.659
258.000000	65.635
262.000000	65.612
265.000000	65.596
269.000000	65.576
272.000000	65.562
276.000000	65.542
280.000000	65.524
285.000000	65.504
290.000000	65.484
295.000000	65.467
300.000000	65.452
304.000000	65.438
307.000000	65.428
311.000000	65.417
315.000000	65.405
320.000000	65.392
325.000000	65.380
330.000000	65.368
335.000000	65.358
340.000000	65.348
345.000000	65.338
350.000000	65.329
355.000000	65.321
360.000000	65.313
365.000000	65.308
370.000000	65.302
375.000000	65.297
382.000000	65.292
387.000000	65.287
395.000000	65.282
400.000000	65.280
406.000000	65.278
412.000000	65.276
418.000000	65.274
425.000000	65.274
431.000000	65.274
437.000000	65.273
