* Measurement data measured by REW V5.20.14
* Source: EQ Objectively Neutral IE Tar Filtered
* Format: 
* Dated: Aug 25, 2024 10:19:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -23.0 dB
* Note: Measurement imported from /Users/sharuraudio/Downloads/Objectively Neutral IE Target.txt Format: Comma/Tab/Space delimited data 177 values loaded, 20 Hz to 20,000 Hz  PK       Fc    2000 Hz  Gain  -2.50 dB  Q  2.000 PK       Fc    2700 Hz  Gain  -3.00 dB  Q  2.000 HS Q     Fc    4000 Hz  Gain   1.80 dB Q  0.700 PK       Fc   750.0 Hz  Gain  -0.80 dB  Q  2.000 PK       Fc    3170 Hz  Gain  -0.30 dB  Q  2.000
* Measurement: EQ Objectively Neutral IE Tar
* Smoothing: None
* Frequency Step: 0.25 Hz
* Start Frequency: 20.0 Hz
*
* Freq(Hz) SPL(dB)
96.452816 64.793
96.702816 64.773
96.952816 64.754
97.202816 64.734
97.452816 64.715
97.702816 64.695
97.952816 64.676
98.202816 64.656
98.452816 64.637
98.702816 64.618
98.952816 64.598
99.202816 64.579
99.452816 64.560
99.702816 64.541
99.952816 64.521
100.202816 64.501
100.452816 64.482
100.702816 64.462
100.952816 64.443
101.202816 64.423
101.452816 64.404
101.702816 64.385
101.952816 64.367
102.202816 64.349
102.452816 64.331
102.702816 64.313
102.952816 64.296
103.202816 64.279
103.452816 64.265
103.702816 64.251
103.952816 64.237
104.202816 64.223
104.452816 64.210
104.702816 64.197
104.952816 64.184
105.202816 64.171
105.452816 64.159
105.702816 64.146
105.952816 64.134
106.202816 64.121
106.452816 64.109
106.702816 64.096
106.952816 64.083
107.202816 64.070
107.452816 64.056
107.702816 64.043
107.952816 64.029
108.202816 64.016
108.452816 64.003
108.702816 63.989
108.952816 63.976
109.202816 63.962
109.452816 63.949
109.702816 63.935
109.952816 63.921
110.202816 63.908
110.452816 63.894
110.702816 63.881
110.952816 63.867
111.202816 63.853
111.452816 63.839
111.702816 63.826
111.952816 63.812
112.202816 63.799
112.452816 63.785
112.702816 63.771
112.952816 63.758
113.202816 63.744
113.452816 63.731
113.702816 63.718
113.952816 63.704
114.202816 63.691
114.452816 63.678
114.702816 63.665
114.952816 63.653
115.202816 63.640
115.452816 63.627
115.702816 63.614
115.952816 63.601
116.202816 63.589
116.452816 63.576
116.702816 63.563
116.952816 63.551
117.202816 63.538
117.452816 63.525
117.702816 63.513
117.952816 63.500
118.202816 63.487
118.452816 63.474
118.702816 63.462
118.952816 63.449
119.202816 63.436
119.452816 63.424
119.702816 63.411
119.952816 63.399
120.202816 63.386
120.452816 63.374
120.702816 63.361
120.952816 63.349
121.202816 63.337
121.452816 63.324
121.702816 63.312
121.952816 63.300
122.202816 63.289
122.452816 63.277
122.702816 63.265
122.952816 63.253
123.202816 63.242
123.452816 63.230
123.702816 63.218
123.952816 63.207
124.202816 63.195
124.452816 63.184
124.702816 63.172
124.952816 63.161
125.202816 63.149
125.452816 63.138
125.702816 63.126
125.952816 63.115
126.202816 63.103
126.452816 63.091
126.702816 63.079
126.952816 63.068
127.202816 63.056
127.452816 63.044
127.702816 63.033
127.952816 63.021
128.202816 63.010
128.452816 62.998
128.702816 62.987
128.952816 62.975
129.202816 62.964
129.452816 62.952
129.702816 62.941
129.952816 62.929
130.202816 62.918
130.452816 62.907
130.702816 62.896
130.952816 62.885
131.202816 62.874
131.452816 62.863
131.702816 62.852
131.952816 62.841
132.202816 62.830
132.452816 62.819
132.702816 62.809
132.952816 62.798
133.202816 62.787
133.452816 62.776
133.702816 62.766
133.952816 62.755
134.202816 62.744
134.452816 62.734
134.702816 62.723
134.952816 62.713
135.202816 62.702
135.452816 62.691
135.702816 62.681
135.952816 62.671
136.202816 62.660
136.452816 62.650
136.702816 62.639
136.952816 62.629
137.202816 62.619
137.452816 62.608
137.702816 62.598
137.952816 62.588
138.202816 62.578
138.452816 62.567
138.702816 62.557
138.952816 62.547
139.202816 62.537
139.452816 62.527
139.702816 62.517
139.952816 62.507
140.202816 62.497
140.452816 62.487
140.702816 62.477
140.952816 62.467
141.202816 62.457
141.452816 62.447
141.702816 62.438
141.952816 62.428
142.202816 62.418
142.452816 62.408
142.702816 62.398
142.952816 62.389
143.202816 62.379
143.452816 62.369
143.702816 62.359
143.952816 62.350
144.202816 62.340
144.452816 62.330
144.702816 62.320
144.952816 62.311
145.202816 62.301
145.452816 62.291
145.702816 62.282
145.952816 62.272
146.202816 62.263
146.452816 62.253
146.702816 62.244
146.952816 62.234
147.202816 62.225
147.452816 62.215
147.702816 62.206
147.952816 62.196
148.202816 62.187
148.452816 62.178
148.702816 62.168
148.952816 62.159
149.202816 62.149
149.452816 62.140
149.702816 62.131
149.952816 62.122
150.202816 62.112
150.452816 62.103
150.702816 62.094
150.952816 62.085
151.202816 62.076
151.452816 62.067
151.702816 62.058
151.952816 62.049
152.202816 62.040
152.452816 62.031
152.702816 62.022
152.952816 62.013
153.202816 62.004
153.452816 61.996
153.702816 61.987
153.952816 61.978
154.202816 61.970
154.452816 61.961
154.702816 61.952
154.952816 61.944
155.202816 61.935
155.452816 61.927
155.702816 61.919
155.952816 61.910
156.202816 61.902
156.452816 61.893
156.702816 61.885
156.952816 61.877
157.202816 61.868
157.452816 61.860
157.702816 61.852
157.952816 61.844
158.202816 61.836
158.452816 61.828
158.702816 61.819
158.952816 61.811
159.202816 61.803
159.452816 61.795
159.702816 61.787
159.952816 61.779
160.202816 61.771
160.452816 61.763
160.702816 61.756
160.952816 61.748
161.202816 61.740
161.452816 61.732
161.702816 61.724
161.952816 61.716
162.202816 61.708
162.452816 61.701
162.702816 61.693
162.952816 61.685
163.202816 61.677
163.452816 61.669
163.702816 61.662
163.952816 61.654
164.202816 61.646
164.452816 61.638
164.702816 61.631
164.952816 61.623
165.202816 61.615
165.452816 61.608
165.702816 61.600
165.952816 61.592
166.202816 61.585
166.452816 61.577
166.702816 61.569
166.952816 61.562
167.202816 61.554
167.452816 61.546
167.702816 61.539
167.952816 61.531
168.202816 61.524
168.452816 61.516
168.702816 61.508
168.952816 61.501
169.202816 61.493
169.452816 61.485
169.702816 61.478
169.952816 61.470
170.202816 61.462
170.452816 61.454
170.702816 61.447
170.952816 61.439
171.202816 61.432
171.452816 61.424
171.702816 61.416
171.952816 61.409
172.202816 61.401
172.452816 61.394
172.702816 61.386
172.952816 61.379
173.202816 61.371
173.452816 61.364
173.702816 61.357
173.952816 61.349
174.202816 61.342
174.452816 61.335
174.702816 61.328
174.952816 61.321
175.202816 61.314
175.452816 61.307
175.702816 61.300
175.952816 61.293
176.202816 61.286
176.452816 61.279
176.702816 61.273
176.952816 61.266
177.202816 61.259
177.452816 61.252
177.702816 61.246
177.952816 61.239
178.202816 61.232
178.452816 61.226
178.702816 61.219
178.952816 61.213
179.202816 61.206
179.452816 61.200
179.702816 61.193
179.952816 61.187
180.202816 61.180
180.452816 61.174
180.702816 61.167
180.952816 61.160
181.202816 61.154
181.452816 61.147
181.702816 61.141
181.952816 61.134
182.202816 61.128
182.452816 61.121
182.702816 61.115
182.952816 61.108
183.202816 61.102
183.452816 61.096
183.702816 61.089
183.952816 61.083
184.202816 61.077
184.452816 61.070
184.702816 61.064
184.952816 61.058
185.202816 61.051
185.452816 61.045
185.702816 61.039
185.952816 61.033
186.202816 61.027
186.452816 61.020
186.702816 61.014
186.952816 61.008
187.202816 61.002
187.452816 60.996
187.702816 60.990
187.952816 60.984
188.202816 60.978
188.452816 60.973
188.702816 60.967
188.952816 60.961
189.202816 60.955
189.452816 60.949
189.702816 60.943
189.952816 60.937
190.202816 60.932
190.452816 60.926
190.702816 60.920
190.952816 60.914
191.202816 60.909
191.452816 60.903
191.702816 60.897
191.952816 60.891
192.202816 60.886
192.452816 60.880
192.702816 60.874
192.952816 60.869
193.202816 60.863
193.452816 60.857
193.702816 60.851
193.952816 60.846
194.202816 60.840
194.452816 60.834
194.702816 60.829
194.952816 60.823
195.202816 60.817
195.452816 60.812
195.702816 60.806
195.952816 60.801
196.202816 60.795
196.452816 60.789
196.702816 60.784
196.952816 60.778
197.202816 60.773
197.452816 60.768
197.702816 60.762
197.952816 60.757
198.202816 60.751
198.452816 60.746
198.702816 60.741
198.952816 60.735
199.202816 60.730
199.452816 60.725
199.702816 60.720
199.952816 60.715
200.202816 60.710
200.452816 60.705
200.702816 60.700
200.952816 60.695
201.202816 60.690
201.452816 60.685
201.702816 60.680
201.952816 60.675
202.202816 60.670
202.452816 60.665
202.702816 60.660
202.952816 60.655
203.202816 60.651
203.452816 60.646
203.702816 60.641
203.952816 60.636
204.202816 60.632
204.452816 60.627
204.702816 60.622
204.952816 60.618
205.202816 60.613
205.452816 60.609
205.702816 60.604
205.952816 60.599
206.202816 60.595
206.452816 60.590
206.702816 60.586
206.952816 60.581
207.202816 60.577
207.452816 60.573
207.702816 60.568
207.952816 60.564
208.202816 60.559
208.452816 60.555
208.702816 60.551
208.952816 60.546
209.202816 60.542
209.452816 60.538
209.702816 60.533
209.952816 60.529
210.202816 60.525
210.452816 60.521
210.702816 60.517
210.952816 60.512
211.202816 60.508
211.452816 60.504
211.702816 60.500
211.952816 60.496
212.202816 60.492
212.452816 60.488
212.702816 60.484
212.952816 60.479
213.202816 60.475
213.452816 60.471
213.702816 60.467
213.952816 60.463
214.202816 60.459
214.452816 60.455
214.702816 60.451
214.952816 60.447
215.202816 60.443
215.452816 60.439
215.702816 60.435
215.952816 60.431
216.202816 60.427
216.452816 60.423
216.702816 60.420
216.952816 60.416
217.202816 60.412
217.452816 60.408
217.702816 60.404
217.952816 60.401
218.202816 60.397
218.452816 60.393
218.702816 60.390
218.952816 60.386
219.202816 60.382
219.452816 60.379
219.702816 60.375
219.952816 60.372
220.202816 60.369
220.452816 60.365
220.702816 60.362
220.952816 60.359
221.202816 60.356
221.452816 60.352
221.702816 60.349
221.952816 60.346
222.202816 60.343
222.452816 60.340
222.702816 60.336
222.952816 60.333
223.202816 60.330
223.452816 60.327
223.702816 60.324
223.952816 60.321
224.202816 60.317
224.452816 60.314
224.702816 60.311
224.952816 60.308
225.202816 60.305
225.452816 60.302
225.702816 60.298
225.952816 60.295
226.202816 60.292
226.452816 60.289
226.702816 60.286
226.952816 60.282
227.202816 60.278
227.452816 60.274
227.702816 60.270
227.952816 60.267
228.202816 60.263
228.452816 60.259
228.702816 60.255
228.952816 60.251
229.202816 60.247
229.452816 60.243
229.702816 60.239
229.952816 60.235
230.202816 60.231
230.452816 60.227
230.702816 60.223
230.952816 60.220
231.202816 60.216
231.452816 60.212
231.702816 60.209
231.952816 60.205
232.202816 60.202
232.452816 60.198
232.702816 60.195
232.952816 60.191
233.202816 60.188
233.452816 60.185
233.702816 60.182
233.952816 60.179
234.202816 60.176
234.452816 60.173
234.702816 60.171
234.952816 60.169
235.202816 60.167
235.452816 60.166
235.702816 60.164
235.952816 60.163
236.202816 60.161
236.452816 60.160
236.702816 60.159
236.952816 60.157
237.202816 60.156
237.452816 60.155
237.702816 60.154
237.952816 60.153
238.202816 60.152
238.452816 60.151
238.702816 60.150
238.952816 60.149
239.202816 60.148
239.452816 60.148
239.702816 60.147
239.952816 60.146
240.202816 60.145
240.452816 60.144
240.702816 60.144
240.952816 60.143
241.202816 60.142
241.452816 60.141
241.702816 60.141
241.952816 60.140
242.202816 60.139
242.452816 60.138
242.702816 60.137
242.952816 60.135
243.202816 60.134
243.452816 60.132
243.702816 60.131
243.952816 60.129
244.202816 60.128
244.452816 60.126
244.702816 60.125
244.952816 60.123
245.202816 60.122
245.452816 60.120
245.702816 60.118
245.952816 60.117
246.202816 60.115
246.452816 60.114
246.702816 60.112
246.952816 60.111
247.202816 60.109
247.452816 60.108
247.702816 60.106
247.952816 60.105
248.202816 60.104
248.452816 60.102
248.702816 60.101
248.952816 60.099
249.202816 60.098
249.452816 60.096
249.702816 60.095
249.952816 60.094
250.202816 60.092
250.452816 60.091
250.702816 60.090
250.952816 60.089
251.202816 60.088
251.452816 60.088
251.702816 60.087
251.952816 60.086
252.202816 60.085
252.452816 60.084
252.702816 60.084
252.952816 60.083
253.202816 60.082
253.452816 60.081
253.702816 60.081
253.952816 60.080
254.202816 60.079
254.452816 60.078
254.702816 60.078
254.952816 60.077
255.202816 60.076
255.452816 60.076
255.702816 60.075
255.952816 60.074
256.202816 60.073
256.452816 60.073
256.702816 60.072
256.952816 60.071
257.202816 60.071
257.452816 60.070
257.702816 60.069
257.952816 60.068
258.202816 60.067
258.452816 60.067
258.702816 60.066
258.952816 60.065
259.202816 60.064
259.452816 60.062
259.702816 60.061
259.952816 60.060
260.202816 60.059
260.452816 60.057
260.702816 60.056
260.952816 60.055
261.202816 60.053
261.452816 60.052
261.702816 60.051
261.952816 60.050
262.202816 60.048
262.452816 60.047
262.702816 60.046
262.952816 60.044
263.202816 60.043
263.452816 60.042
263.702816 60.041
263.952816 60.039
264.202816 60.038
264.452816 60.037
264.702816 60.036
264.952816 60.034
265.202816 60.033
265.452816 60.032
265.702816 60.031
265.952816 60.030
266.202816 60.028
266.452816 60.027
266.702816 60.026
266.952816 60.025
267.202816 60.024
267.452816 60.023
267.702816 60.022
267.952816 60.022
268.202816 60.021
268.452816 60.021
268.702816 60.020
268.952816 60.020
269.202816 60.019
269.452816 60.019
269.702816 60.019
269.952816 60.018
270.202816 60.018
270.452816 60.017
270.702816 60.017
270.952816 60.017
271.202816 60.016
271.452816 60.016
271.702816 60.015
271.952816 60.015
272.202816 60.015
272.452816 60.014
272.702816 60.014
272.952816 60.014
273.202816 60.013
273.452816 60.013
273.702816 60.012
273.952816 60.012
274.202816 60.012
274.452816 60.011
274.702816 60.011
274.952816 60.010
275.202816 60.010
275.452816 60.010
275.702816 60.009
275.952816 60.009
276.202816 60.008
276.452816 60.008
276.702816 60.007
276.952816 60.006
277.202816 60.005
277.452816 60.004
277.702816 60.003
277.952816 60.002
278.202816 60.001
278.452816 60.000
278.702816 59.999
278.952816 59.998
279.202816 59.997
279.452816 59.996
279.702816 59.995
279.952816 59.994
280.202816 59.993
280.452816 59.992
280.702816 59.991
280.952816 59.990
281.202816 59.988
281.452816 59.987
281.702816 59.986
281.952816 59.985
282.202816 59.984
282.452816 59.983
282.702816 59.982
282.952816 59.981
283.202816 59.980
283.452816 59.979
283.702816 59.978
283.952816 59.977
284.202816 59.976
284.452816 59.975
284.702816 59.974
284.952816 59.973
285.202816 59.972
285.452816 59.971
285.702816 59.970
285.952816 59.969
286.202816 59.968
286.452816 59.968
286.702816 59.967
286.952816 59.966
287.202816 59.965
